Element_1,Element_2,paired_dHmix
Sn,Li,-18.0
Li,Sn,-18.0
Sn,B,18.0
B,Sn,18.0
Sn,C,-23.0
C,Sn,-23.0
Sn,Mg,-9.0
Mg,Sn,-9.0
Sn,Al,4.0
Al,Sn,4.0
Sn,Si,-11.0
Si,Sn,-11.0
Sn,Sc,-45.0
Sc,Sn,-45.0
Sn,Ti,-21.0
Ti,Sn,-21.0
Sn,V,-1.0
V,Sn,-1.0
Sn,Cr,10.0
Cr,Sn,10.0
Sn,Mn,-7.0
Mn,Sn,-7.0
Sn,Fe,11.0
Fe,Sn,11.0
Sn,Co,0.0
Co,Sn,0.0
Sn,Ni,-4.0
Ni,Sn,-4.0
Sn,Cu,7.0
Cu,Sn,7.0
Sn,Zn,1.0
Zn,Sn,1.0
Sn,Y,-51.0
Y,Sn,-51.0
Sn,Zr,-43.0
Zr,Sn,-43.0
Sn,Nb,-1.0
Nb,Sn,-1.0
Sn,Mo,20.0
Mo,Sn,20.0
Hf,Li,30.0
Li,Hf,30.0
Hf,B,-66.0
B,Hf,-66.0
Hf,C,-123.0
C,Hf,-123.0
Hf,Mg,10.0
Mg,Hf,10.0
Hf,Al,-39.0
Al,Hf,-39.0
Hf,Si,-77.0
Si,Hf,-77.0
Hf,Sc,5.0
Sc,Hf,5.0
Hf,Ti,0.0
Ti,Hf,0.0
Hf,V,-2.0
V,Hf,-2.0
Hf,Cr,-9.0
Cr,Hf,-9.0
Hf,Mn,-12.0
Mn,Hf,-12.0
Hf,Fe,-21.0
Fe,Hf,-21.0
Hf,Co,-35.0
Co,Hf,-35.0
Hf,Ni,-42.0
Ni,Hf,-42.0
Hf,Cu,-17.0
Cu,Hf,-17.0
Hf,Zn,-24.0
Zn,Hf,-24.0
Hf,Y,11.0
Y,Hf,11.0
Hf,Zr,0.0
Zr,Hf,0.0
Hf,Nb,4.0
Nb,Hf,4.0
Hf,Mo,-4.0
Mo,Hf,-4.0
Ta,Li,48.0
Li,Ta,48.0
Ta,B,-54.0
B,Ta,-54.0
Ta,C,-101.0
C,Ta,-101.0
Ta,Mg,30.0
Mg,Ta,30.0
Ta,Al,-19.0
Al,Ta,-19.0
Ta,Si,-56.0
Si,Ta,-56.0
Ta,Sc,16.0
Sc,Ta,16.0
Ta,Ti,1.0
Ti,Ta,1.0
Ta,V,-1.0
V,Ta,-1.0
Ta,Cr,-7.0
Cr,Ta,-7.0
Ta,Mn,-4.0
Mn,Ta,-4.0
Ta,Fe,-15.0
Fe,Ta,-15.0
Ta,Co,-24.0
Co,Ta,-24.0
Ta,Ni,-29.0
Ni,Ta,-29.0
Ta,Cu,2.0
Cu,Ta,2.0
Ta,Zn,-3.0
Zn,Ta,-3.0
Ta,Y,27.0
Y,Ta,27.0
Ta,Zr,3.0
Zr,Ta,3.0
Ta,Nb,0.0
Nb,Ta,0.0
Ta,Mo,-5.0
Mo,Ta,-5.0
W,Li,50.0
Li,W,50.0
W,B,-31.0
B,W,-31.0
W,C,-60.0
C,W,-60.0
W,Mg,38.0
Mg,W,38.0
W,Al,-2.0
Al,W,-2.0
W,Si,-31.0
Si,W,-31.0
W,Sc,9.0
Sc,W,9.0
W,Ti,-6.0
Ti,W,-6.0
W,V,-1.0
V,W,-1.0
W,Cr,1.0
Cr,W,1.0
W,Mn,6.0
Mn,W,6.0
W,Fe,0.0
Fe,W,0.0
W,Co,-1.0
Co,W,-1.0
W,Ni,-3.0
Ni,W,-3.0
W,Cu,22.0
Cu,W,22.0
W,Zn,15.0
Zn,W,15.0
W,Y,24.0
Y,W,24.0
W,Zr,-9.0
Zr,W,-9.0
W,Nb,-8.0
Nb,W,-8.0
W,Mo,0.0
Mo,W,0.0
Sn,Hf,-35.0
Hf,Sn,-35.0
Sn,Ta,-3.0
Ta,Sn,-3.0
Sn,W,27.0
W,Sn,27.0
Hf,Ta,3.0
Ta,Hf,3.0
Hf,W,-6.0
W,Hf,-6.0
Ta,W,-7.0
W,Ta,-7.0
Li,B,-6.0
B,Li,-6.0
Li,C,-61.0
C,Li,-61.0
Li,Mg,0.0
Mg,Li,0.0
Li,Al,-4.0
Al,Li,-4.0
Li,Si,-30.0
Si,Li,-30.0
Li,Sc,12.0
Sc,Li,12.0
Li,Ti,34.0
Ti,Li,34.0
Li,V,37.0
V,Li,37.0
Li,Cr,35.0
Cr,Li,35.0
Li,Mn,19.0
Mn,Li,19.0
Li,Fe,26.0
Fe,Li,26.0
Li,Co,8.0
Co,Li,8.0
Li,Ni,1.0
Ni,Li,1.0
Li,Cu,-5.0
Cu,Li,-5.0
Li,Zn,-7.0
Zn,Li,-7.0
Li,Y,8.0
Y,Li,8.0
Li,Zr,27.0
Zr,Li,27.0
Li,Nb,51.0
Nb,Li,51.0
Li,Mo,49.0
Mo,Li,49.0
B,C,-10.0
C,B,-10.0
B,Mg,-4.0
Mg,B,-4.0
B,Al,0.0
Al,B,0.0
B,Si,-14.0
Si,B,-14.0
B,Sc,-55.0
Sc,B,-55.0
B,Ti,-58.0
Ti,B,-58.0
B,V,-42.0
V,B,-42.0
B,Cr,-31.0
Cr,B,-31.0
B,Mn,-32.0
Mn,B,-32.0
B,Fe,-26.0
Fe,B,-26.0
B,Co,-24.0
Co,B,-24.0
B,Ni,-24.0
Ni,B,-24.0
B,Cu,0.0
Cu,B,0.0
B,Zn,4.0
Zn,B,4.0
B,Y,-50.0
Y,B,-50.0
B,Zr,-71.0
Zr,B,-71.0
B,Nb,-54.0
Nb,B,-54.0
B,Mo,-34.0
Mo,B,-34.0
C,Mg,-55.0
Mg,C,-55.0
C,Al,-36.0
Al,C,-36.0
C,Si,-39.0
Si,C,-39.0
C,Sc,-118.0
Sc,C,-118.0
C,Ti,-109.0
Ti,C,-109.0
C,V,-82.0
V,C,-82.0
C,Cr,-61.0
Cr,C,-61.0
C,Mn,-66.0
Mn,C,-66.0
C,Fe,-50.0
Fe,C,-50.0
C,Co,-42.0
Co,C,-42.0
C,Ni,-39.0
Ni,C,-39.0
C,Cu,-33.0
Cu,C,-33.0
C,Zn,-32.0
Zn,C,-32.0
C,Y,-117.0
Y,C,-117.0
C,Zr,-131.0
Zr,C,-131.0
C,Nb,-102.0
Nb,C,-102.0
C,Mo,-67.0
Mo,C,-67.0
Mg,Al,-2.0
Al,Mg,-2.0
Mg,Si,-26.0
Si,Mg,-26.0
Mg,Sc,-3.0
Sc,Mg,-3.0
Mg,Ti,16.0
Ti,Mg,16.0
Mg,V,23.0
V,Mg,23.0
Mg,Cr,24.0
Cr,Mg,24.0
Mg,Mn,10.0
Mn,Mg,10.0
Mg,Fe,18.0
Fe,Mg,18.0
Mg,Co,3.0
Co,Mg,3.0
Mg,Ni,-4.0
Ni,Mg,-4.0
Mg,Cu,-3.0
Cu,Mg,-3.0
Mg,Zn,-4.0
Zn,Mg,-4.0
Mg,Y,-6.0
Y,Mg,-6.0
Mg,Zr,6.0
Zr,Mg,6.0
Mg,Nb,32.0
Nb,Mg,32.0
Mg,Mo,36.0
Mo,Mg,36.0
Al,Si,-19.0
Si,Al,-19.0
Al,Sc,-38.0
Sc,Al,-38.0
Al,Ti,-30.0
Ti,Al,-30.0
Al,V,-16.0
V,Al,-16.0
Al,Cr,-10.0
Cr,Al,-10.0
Al,Mn,-19.0
Mn,Al,-19.0
Al,Fe,-11.0
Fe,Al,-11.0
Al,Co,-19.0
Co,Al,-19.0
Al,Ni,-22.0
Ni,Al,-22.0
Al,Cu,-1.0
Cu,Al,-1.0
Al,Zn,1.0
Zn,Al,1.0
Al,Y,-38.0
Y,Al,-38.0
Al,Zr,-44.0
Zr,Al,-44.0
Al,Nb,-18.0
Nb,Al,-18.0
Al,Mo,-5.0
Mo,Al,-5.0
Si,Sc,-74.0
Sc,Si,-74.0
Si,Ti,-66.0
Ti,Si,-66.0
Si,V,-48.0
V,Si,-48.0
Si,Cr,-37.0
Cr,Si,-37.0
Si,Mn,-45.0
Mn,Si,-45.0
Si,Fe,-35.0
Fe,Si,-35.0
Si,Co,-38.0
Co,Si,-38.0
Si,Ni,-40.0
Ni,Si,-40.0
Si,Cu,-19.0
Cu,Si,-19.0
Si,Zn,-18.0
Zn,Si,-18.0
Si,Y,-73.0
Y,Si,-73.0
Si,Zr,-84.0
Zr,Si,-84.0
Si,Nb,-56.0
Nb,Si,-56.0
Si,Mo,-35.0
Mo,Si,-35.0
Sc,Ti,8.0
Ti,Sc,8.0
Sc,V,7.0
V,Sc,7.0
Sc,Cr,1.0
Cr,Sc,1.0
Sc,Mn,-8.0
Mn,Sc,-8.0
Sc,Fe,-11.0
Fe,Sc,-11.0
Sc,Co,-30.0
Co,Sc,-30.0
Sc,Ni,-39.0
Ni,Sc,-39.0
Sc,Cu,-24.0
Cu,Sc,-24.0
Sc,Zn,-29.0
Zn,Sc,-29.0
Sc,Y,1.0
Y,Sc,1.0
Sc,Zr,4.0
Zr,Sc,4.0
Sc,Nb,18.0
Nb,Sc,18.0
Sc,Mo,11.0
Mo,Sc,11.0
Ti,V,-2.0
V,Ti,-2.0
Ti,Cr,-7.0
Cr,Ti,-7.0
Ti,Mn,-8.0
Mn,Ti,-8.0
Ti,Fe,-17.0
Fe,Ti,-17.0
Ti,Co,-28.0
Co,Ti,-28.0
Ti,Ni,-35.0
Ni,Ti,-35.0
Ti,Cu,-9.0
Cu,Ti,-9.0
Ti,Zn,-15.0
Zn,Ti,-15.0
Ti,Y,15.0
Y,Ti,15.0
Ti,Zr,0.0
Zr,Ti,0.0
Ti,Nb,2.0
Nb,Ti,2.0
Ti,Mo,-4.0
Mo,Ti,-4.0
V,Cr,-2.0
Cr,V,-2.0
V,Mn,-1.0
Mn,V,-1.0
V,Fe,-7.0
Fe,V,-7.0
V,Co,-14.0
Co,V,-14.0
V,Ni,-18.0
Ni,V,-18.0
V,Cu,5.0
Cu,V,5.0
V,Zn,-2.0
Zn,V,-2.0
V,Y,17.0
Y,V,17.0
V,Zr,-4.0
Zr,V,-4.0
V,Nb,-1.0
Nb,V,-1.0
V,Mo,0.0
Mo,V,0.0
Cr,Mn,2.0
Mn,Cr,2.0
Cr,Fe,-1.0
Fe,Cr,-1.0
Cr,Co,-4.0
Co,Cr,-4.0
Cr,Ni,-7.0
Ni,Cr,-7.0
Cr,Cu,12.0
Cu,Cr,12.0
Cr,Zn,5.0
Zn,Cr,5.0
Cr,Y,11.0
Y,Cr,11.0
Cr,Zr,-12.0
Zr,Cr,-12.0
Cr,Nb,-7.0
Nb,Cr,-7.0
Cr,Mo,0.0
Mo,Cr,0.0
Mn,Fe,0.0
Fe,Mn,0.0
Mn,Co,-5.0
Co,Mn,-5.0
Mn,Ni,-8.0
Ni,Mn,-8.0
Mn,Cu,4.0
Cu,Mn,4.0
Mn,Zn,-6.0
Zn,Mn,-6.0
Mn,Y,-1.0
Y,Mn,-1.0
Mn,Zr,-15.0
Zr,Mn,-15.0
Mn,Nb,-4.0
Nb,Mn,-4.0
Mn,Mo,5.0
Mo,Mn,5.0
Fe,Co,-1.0
Co,Fe,-1.0
Fe,Ni,-2.0
Ni,Fe,-2.0
Fe,Cu,13.0
Cu,Fe,13.0
Fe,Zn,4.0
Zn,Fe,4.0
Fe,Y,-1.0
Y,Fe,-1.0
Fe,Zr,-25.0
Zr,Fe,-25.0
Fe,Nb,-16.0
Nb,Fe,-16.0
Fe,Mo,-2.0
Mo,Fe,-2.0
Co,Ni,0.0
Ni,Co,0.0
Co,Cu,6.0
Cu,Co,6.0
Co,Zn,-5.0
Zn,Co,-5.0
Co,Y,-22.0
Y,Co,-22.0
Co,Zr,-41.0
Zr,Co,-41.0
Co,Nb,-25.0
Nb,Co,-25.0
Co,Mo,-5.0
Mo,Co,-5.0
Ni,Cu,4.0
Cu,Ni,4.0
Ni,Zn,-9.0
Zn,Ni,-9.0
Ni,Y,-31.0
Y,Ni,-31.0
Ni,Zr,-49.0
Zr,Ni,-49.0
Ni,Nb,-30.0
Nb,Ni,-30.0
Ni,Mo,-7.0
Mo,Ni,-7.0
Cu,Zn,1.0
Zn,Cu,1.0
Cu,Y,-22.0
Y,Cu,-22.0
Cu,Zr,-23.0
Zr,Cu,-23.0
Cu,Nb,3.0
Nb,Cu,3.0
Cu,Mo,19.0
Mo,Cu,19.0
Zn,Y,-31.0
Y,Zn,-31.0
Zn,Zr,-29.0
Zr,Zn,-29.0
Zn,Nb,-1.0
Nb,Zn,-1.0
Zn,Mo,12.0
Mo,Zn,12.0
Y,Zr,9.0
Zr,Y,9.0
Y,Nb,30.0
Nb,Y,30.0
Y,Mo,24.0
Mo,Y,24.0
Zr,Nb,4.0
Nb,Zr,4.0
Zr,Mo,-6.0
Mo,Zr,-6.0
Nb,Mo,-6.0
Mo,Nb,-6.0
